Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Quintin Morris,BUF,TE,25,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,5.0,36.0,7.2,1.0,0.0,0.0,1,0.0,0.0,14.6,73
MyCole Pruitt,PIT,TE,32,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,6.0,40.0,6.67,1.0,0.0,0.0,1,0.0,0.0,16.0,72
Harrison Bryant,LVR,TE,26,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,9.0,86.0,9.56,0.0,0.0,0.0,0,0.0,0.0,17.6,78
Devin Culp,TAM,TE,24,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,5.0,88.0,17.6,0.0,0.0,0.0,0,0.0,0.0,13.8,75
Chris Manhertz,NYG,TE,32,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,30.0,10.0,1.0,0.0,0.0,1,0.0,0.0,12.0,74
Ben Sinnott,WAS,TE,22,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,28.0,5.6,1.0,0.0,0.0,1,0.0,0.0,13.8,76
Brevyn Spann-Ford,DAL,TE,25,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,9.0,88.0,9.78,0.0,0.0,0.0,0,0.0,0.0,17.8,77
Luke Farrell,JAX,TE,27,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,12.0,67.0,5.58,0.0,0.0,0.0,0,0.0,0.0,18.7,80
Hayden Hurst,LAC,TE,31,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,8.0,73.0,9.13,0.0,0.0,0.0,0,0.0,0.0,15.3,79
E.J. Jenkins,PHI,TE,26,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,7.0,7.0,1.0,0.0,0.0,1,0.0,0.0,7.7,81
John Bates,WAS,TE,27,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,8.0,84.0,10.5,0.0,1.0,1.0,0,0.0,0.0,14.4,82
Hunter Long,LAR,TE,26,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,7.0,60.0,8.57,0.0,0.0,0.0,0,0.0,0.0,13.0,83
Pharaoh Brown,SEA,TE,30,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,8.0,65.0,8.13,0.0,1.0,1.0,0,0.0,0.0,12.5,87
Peyton Hendershot,KAN,TE,25,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,51.0,10.2,0.0,0.0,0.0,0,0.0,0.0,10.1,85
Luke Musgrave,GNB,TE,24,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,7.0,45.0,6.43,0.0,0.0,0.0,0,0.0,0.0,11.5,88
Durham Smythe,MIA,TE,29,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,9.0,53.0,5.89,0.0,0.0,0.0,0,0.0,0.0,14.3,84
Charlie Woerner,ATL,TE,27,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,7.0,46.0,6.57,0.0,0.0,0.0,0,0.0,0.0,11.6,86
Davis Allen,LAR,TE,23,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,6.0,39.0,6.5,0.0,0.0,0.0,0,0.0,0.0,9.9,90
Gerald Everett,CHI,TE,30,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,8.0,36.0,4.5,0.0,0.0,0.0,0,0.0,0.0,11.6,93
Tucker Fisk,LAC,TE,25,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,7.0,39.0,5.57,0.0,0.0,0.0,0,0.0,0.0,10.9,91
Tip Reiman,ARI,TE,23,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,6.0,37.0,6.17,0.0,0.0,0.0,0,0.0,0.0,9.7,92
Ben Sims,GNB,TE,24,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,4.0,42.0,10.5,0.0,0.0,0.0,0,0.0,0.0,8.2,89
Greg Dulcich,2TM,TE,24,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,5.0,28.0,5.6,0.0,0.0,0.0,0,0.0,0.0,7.8,95
Cam Grandy,CIN,TE,24,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,28.0,5.6,0.0,0.0,0.0,0,0.0,0.0,7.8,96
Will Mallory,IND,TE,25,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,4.0,29.0,7.25,0.0,0.0,0.0,0,0.0,0.0,6.9,94
Jaheim Bell,NWE,TE,23,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,20.0,10.0,0.0,0.0,0.0,0,0.0,0.0,4.0,99
Tanner Conner,MIA,TE,26,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,16.0,5.33,0.0,0.0,0.0,0,0.0,0.0,4.6,100
Dallin Holker,NOR,TE,24,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,21.0,7.0,0.0,0.0,0.0,0,0.0,0.0,5.1,98
Shane Zylstra,DET,TE,28,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,22.0,22.0,0.0,0.0,0.0,0,0.0,0.0,3.2,97
Zach Davidson,BUF,TE,26,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,1.5,111
Josiah Deguara,JAX,TE,27,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,14.0,4.67,0.0,0.0,0.0,0,0.0,0.0,4.4,101
Ross Dwelley,ATL,TE,29,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,1.5,112
Jody Fortson,KAN,TE,29,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,1.5,113
Feleipe Franks,CAR,TE,27,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,12.0,12.0,0.0,0.0,0.0,0,0.0,0.0,2.2,102
Brevin Jordan,HOU,TE,24,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,7.0,3.5,0.0,0.0,0.0,0,0.0,0.0,2.7,105
David Martin-Robinson,TEN,TE,25,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0,0.0,0.0,1.6,110
John Samuel Shenker,LVR,TE,26,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,1.7,106
Jack Stoll,2TM,TE,26,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,10.0,5.0,0.0,0.0,0.0,0,0.0,0.0,3.0,103
Geoff Swaim,CLE,TE,31,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,1.7,107
Ian Thomas,CAR,TE,28,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,7.0,2.33,0.0,0.0,0.0,0,0.0,0.0,3.7,108
Eric Tomlinson,LAC,TE,32,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,9.0,4.5,0.0,0.0,0.0,0,0.0,0.0,2.9,104
Jared Wiley,KAN,TE,24,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,1.7,109
John FitzPatrick,GNB,TE,24,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,1.2,114
Marcedes Lewis,CHI,TE,40,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,1.2,115
